Timestamp,X,Y,Z
93.043,-0.19062488,-0.3089897,9.644514
93.063,-0.19147901,-0.30937213,9.644033
93.083,-0.19176206,-0.30984515,9.643269
93.104,-0.1921828,-0.31055626,9.642948
93.124,-0.19261202,-0.31130058,9.642725
93.144,-0.19338769,-0.3115385,9.6423
93.165,-0.1940994,-0.31152412,9.642093
93.185,-0.19468965,-0.31129643,9.64212
93.205,-0.19549303,-0.31164235,9.642287
93.226,-0.19612302,-0.31119004,9.6419
93.246,-0.19666909,-0.31054142,9.6422415
93.266,-0.19724984,-0.31013447,9.642261
93.287,-0.19767502,-0.30976468,9.642305
93.307,-0.19705535,-0.30998784,9.641541
93.327,-0.19683915,-0.30908763,9.642966
93.348,-0.1962399,-0.30846715,9.642507
93.368,-0.19640303,-0.3082181,9.643262
93.388,-0.19585527,-0.30798638,9.642316
93.408,-0.19567806,-0.3078096,9.642318
93.429,-0.19473968,-0.30762333,9.64246
93.449,-0.19418441,-0.3072069,9.642016
93.469,-0.19415715,-0.30693853,9.642192
93.489,-0.19351338,-0.30694485,9.642212
93.51,-0.19283824,-0.3069076,9.642115
93.53,-0.19244435,-0.30687985,9.64222
93.55,-0.19156678,-0.30647826,9.643084
93.57,-0.19141638,-0.3062541,9.642947
93.591,-0.19062887,-0.30642185,9.643072
93.611,-0.18963432,-0.30598328,9.642743
93.631,-0.18878657,-0.30598235,9.642423
93.651,-0.18839124,-0.30586892,9.642052
93.672,-0.18750818,-0.30586386,9.64293
93.692,-0.18666638,-0.305962,9.643214
93.712,-0.18604033,-0.3060387,9.642962
93.733,-0.18561961,-0.30586183,9.643509
93.753,-0.18503262,-0.3056077,9.643495
93.773,-0.18467301,-0.3052101,9.643902
93.793,-0.18445131,-0.30481106,9.644154
93.814,-0.18412074,-0.30496207,9.64417
93.834,-0.18400335,-0.3054109,9.643987
93.854,-0.18368533,-0.305994,9.643905
93.874,-0.18334806,-0.30657196,9.644157
93.895,-0.18280952,-0.30733088,9.644456
93.915,-0.18295863,-0.30868283,9.645531
93.935,-0.18282034,-0.3107406,9.645
93.955,-0.18286368,-0.31260806,9.644905
93.976,-0.18275657,-0.31574997,9.644396
93.996,-0.18301055,-0.31732818,9.645131
94.016,-0.18315321,-0.31857768,9.644789
94.037,-0.18349679,-0.3197243,9.645396
94.057,-0.1835634,-0.32034197,9.644887
94.078,-0.1840003,-0.3218926,9.644008
94.098,-0.18474187,-0.32282954,9.644313
94.118,-0.18492714,-0.3229382,9.644571
94.138,-0.18554273,-0.3226637,9.644418
94.159,-0.18498243,-0.32194585,9.643629
94.179,-0.186096,-0.31951943,9.64314
94.199,-0.18587561,-0.317097,9.642416
94.22,-0.18654345,-0.3137239,9.642754
